Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Chris McGregor	African Sound	(6, None)	Now	Chris McGregor	The African Sound	Now	True	False	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Don Rendall and Iain Carr	Change Is	(1, None)	 Elastic Dream	Don Rendell/Ian Carr Quintet	Change Is	Elastic Dream	False	True	True
Don Rendall and Iain Carr	Change Is	(2, None)	 One Green Eye	Don Rendell/Ian Carr Quintet	Change Is	One Green Eye	False	True	True
Don Rendall and Iain Carr	Change Is	(3, None)	 Dog and Carrot	Don Rendell/Ian Carr Quintet	Change Is	Boy, Dog and Carrot	False	True	False
Don Rendall and Iain Carr	Change Is	(4, None)	 Cold Mountain	Don Rendell/Ian Carr Quintet	Change Is	Cold Mountain	False	True	True
Don Rendall and Iain Carr	Change Is	(5, None)	 Black Hair	Don Rendell/Ian Carr Quintet	Change Is	Black Hair	False	True	True
Don Rendall and Iain Carr	Change Is	(6, None)	 Mirage	Don Rendell/Ian Carr Quintet	Change Is	Mirage	False	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Don Rendall and Iain Carr	Live 1969	(1, None)	 On Track	Don Rendell/Ian Carr Quintet	Live	On Track	False	False	True
Don Rendall and Iain Carr	Live 1969	(2, None)	 Vignette	Don Rendell/Ian Carr Quintet	Live	Vignette	False	False	True
Don Rendall and Iain Carr	Live 1969	(3, None)	 Pavanne	Don Rendell/Ian Carr Quintet	Live	Pavanne	False	False	True
Don Rendall and Iain Carr	Live 1969	(4, None)	 Nimjam	Don Rendell/Ian Carr Quintet	Live	Nimjam	False	False	True
Don Rendall and Iain Carr	Live 1969	(5, None)	 Voices	Don Rendell/Ian Carr Quintet	Live	Voices	False	False	True
Don Rendall and Iain Carr	Live 1969	(6, None)	 You've Said It	Don Rendell/Ian Carr Quintet	Live	You've Said It	False	False	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
